clube_id;escudos;nome;abreviacao;slug;apelido;nome_fantasia;id;url_editoria;file_source
2305;{'60x60': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/MIR/60x60.png', '45x45': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/MIR/45x45.png', '30x30': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/MIR/30x30.png'};MIR;MIR;mirassol;Mirassol;Mirassol;2305;https://ge.globo.com/sp/tem-esporte/futebol/times/mirassol/;datalake/01-landing/season-2025/partidas/partidas_rodada_37.json
262;{'60x60': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/FLA/60x60.png', '45x45': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/FLA/45x45.png', '30x30': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/FLA/30x30.png'};FLA;FLA;flamengo;Mengão;Flamengo;262;https://ge.globo.com/futebol/times/flamengo/;datalake/01-landing/season-2025/partidas/partidas_rodada_37.json
263;{'60x60': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/BOT/60x60.png', '45x45': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/BOT/45x45.png', '30x30': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/BOT/30x30.png'};BOT;BOT;botafogo;Glorioso;Botafogo;263;https://ge.globo.com/futebol/times/botafogo/;datalake/01-landing/season-2025/partidas/partidas_rodada_37.json
264;{'60x60': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/COR/60x60.png', '45x45': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/COR/45x45.png', '30x30': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/COR/30x30.png'};COR;COR;corinthians;Timão;Corinthians;264;https://ge.globo.com/futebol/times/corinthians/;datalake/01-landing/season-2025/partidas/partidas_rodada_37.json
265;{'60x60': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/BAH/60x60.png', '45x45': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/BAH/45x45.png', '30x30': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/BAH/30x30.png'};BAH;BAH;bahia;Tricolor de Aço;Bahia;265;https://ge.globo.com/ba/futebol/times/bahia/;datalake/01-landing/season-2025/partidas/partidas_rodada_37.json
266;{'60x60': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/FLU/60x60.png', '45x45': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/FLU/45x45.png', '30x30': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/FLU/30x30.png'};FLU;FLU;fluminense;Tricolor;Fluminense;266;https://ge.globo.com/futebol/times/fluminense/;datalake/01-landing/season-2025/partidas/partidas_rodada_37.json
267;{'60x60': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/VAS/60x60.png', '45x45': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/VAS/45x45.png', '30x30': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/VAS/30x30.png'};VAS;VAS;vasco;Gigante da Colina;Vasco;267;https://ge.globo.com/futebol/times/vasco/;datalake/01-landing/season-2025/partidas/partidas_rodada_37.json
275;{'60x60': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/PAL/60x60.png', '45x45': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/PAL/45x45.png', '30x30': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/PAL/30x30.png'};PAL;PAL;palmeiras;Verdão;Palmeiras;275;https://ge.globo.com/futebol/times/palmeiras/;datalake/01-landing/season-2025/partidas/partidas_rodada_37.json
276;{'60x60': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/SAO/60x60.png', '45x45': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/SAO/45x45.png', '30x30': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/SAO/30x30.png'};SAO;SAO;sao-paulo;Tricolor;São Paulo;276;https://ge.globo.com/futebol/times/sao-paulo/;datalake/01-landing/season-2025/partidas/partidas_rodada_37.json
277;{'60x60': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/SAN/60x60.png', '45x45': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/SAN/45x45.png', '30x30': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/SAN/30x30.png'};SAN;SAN;santos;Peixe;Santos;277;https://ge.globo.com/sp/santos-e-regiao/futebol/times/santos/;datalake/01-landing/season-2025/partidas/partidas_rodada_37.json
280;{'60x60': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/RBB/60x60.png', '45x45': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/RBB/45x45.png', '30x30': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/RBB/30x30.png'};RBB;RBB;bragantino;Massa Bruta;Bragantino;280;https://ge.globo.com/sp/vale-do-paraiba-regiao/futebol/times/bragantino/;datalake/01-landing/season-2025/partidas/partidas_rodada_37.json
282;{'60x60': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/CAM/60x60.png', '45x45': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/CAM/45x45.png', '30x30': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/CAM/30x30.png'};CAM;CAM;atletico-mg;Galo;Atlético-MG;282;https://ge.globo.com/futebol/times/atletico-mg/;datalake/01-landing/season-2025/partidas/partidas_rodada_37.json
283;{'60x60': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/CRU/60x60.png', '45x45': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/CRU/45x45.png', '30x30': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/CRU/30x30.png'};CRU;CRU;cruzeiro;Raposa;Cruzeiro;283;https://ge.globo.com/futebol/times/cruzeiro/;datalake/01-landing/season-2025/partidas/partidas_rodada_37.json
284;{'60x60': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/GRE/60x60.png', '45x45': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/GRE/45x45.png', '30x30': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/GRE/30x30.png'};GRE;GRE;gremio;Imortal;Grêmio;284;https://ge.globo.com/rs/futebol/times/gremio/;datalake/01-landing/season-2025/partidas/partidas_rodada_37.json
285;{'60x60': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/INT/60x60.png', '45x45': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/INT/45x45.png', '30x30': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/INT/30x30.png'};INT;INT;internacional;Colorado;Internacional;285;https://ge.globo.com/rs/futebol/times/internacional/;datalake/01-landing/season-2025/partidas/partidas_rodada_37.json
286;{'60x60': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/JUV/60x60.png', '45x45': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/JUV/45x45.png', '30x30': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/JUV/30x30.png'};JUV;JUV;juventude;Papo;Juventude;286;https://ge.globo.com/rs/futebol/times/juventude/;datalake/01-landing/season-2025/partidas/partidas_rodada_37.json
287;{'60x60': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/VIT/60x60.png', '45x45': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/VIT/45x45.png', '30x30': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/VIT/30x30.png'};VIT;VIT;vitoria;Vitória;Vitória;287;https://ge.globo.com/ba/futebol/times/vitoria/;datalake/01-landing/season-2025/partidas/partidas_rodada_37.json
292;{'60x60': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/SPT/60x60.png', '45x45': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/SPT/45x45.png', '30x30': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/SPT/30x30.png'};SPT;SPT;sport;Leão do Norte;Sport;292;https://ge.globo.com/pe/futebol/times/sport/;datalake/01-landing/season-2025/partidas/partidas_rodada_37.json
354;{'60x60': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/CEA/60x60.png', '45x45': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/CEA/45x45.png', '30x30': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/CEA/30x30.png'};CEA;CEA;ceara;Ceará;Ceará;354;https://ge.globo.com/ce/futebol/times/ceara/;datalake/01-landing/season-2025/partidas/partidas_rodada_37.json
356;{'60x60': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/FOR/60x60.png', '45x45': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/FOR/45x45.png', '30x30': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/FOR/30x30.png'};FOR;FOR;fortaleza;Leão do Pici;Fortaleza;356;https://ge.globo.com/ce/futebol/times/fortaleza/;datalake/01-landing/season-2025/partidas/partidas_rodada_37.json
